ProductID,Category,SubCategory,ProductName,Price
TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack0.99,1.0
OFF-FA-10000490,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black1.24",1.0
OFF-AR-10004582,Office Supplies,Art,BIC Brite Liner Grip Highlighters1.64,1.0
OFF-AR-10003087,Office Supplies,Art,Staples1.78,1.0
OFF-FA-10002676,Office Supplies,Fasteners,Colored Push Pins1.81,1.0
OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes2.04,1.0
OFF-AR-10001547,Office Supplies,Art,Newell 3112.21,1.0
OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum2.22,1.0
OFF-AR-10004707,Office Supplies,Art,Staples2.48,1.0
OFF-LA-10000634,Office Supplies,Labels,Avery 5092.61,1.0
OFF-LA-10001045,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal2.61,1.0
OFF-LA-10002368,Office Supplies,Labels,Avery 4792.61,1.0
OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener2.74,1.0
OFF-AR-10003732,Office Supplies,Art,Newell 3332.78,1.0
OFF-BI-10004876,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders2.78,1.0
OFF-AR-10001022,Office Supplies,Art,SANFORD Liquid Accent Tank-Style Highlighters2.84,1.0
OFF-FA-10001332,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long2.88",1.0
OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders2.88,1.0
OFF-LA-10004559,Office Supplies,Labels,Avery 492.88,1.0
OFF-AR-10003190,Office Supplies,Art,Newell 322.88,1.0
OFF-LA-10004272,Office Supplies,Labels,Avery 4822.89,1.0
OFF-AR-10000940,Office Supplies,Art,Newell 3432.94,1.0
OFF-AR-10000817,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter3.04,1.0
OFF-LA-10000134,Office Supplies,Labels,Avery 5113.08,1.0
OFF-LA-10003766,Office Supplies,Labels,Self-Adhesive Removable Labels3.15,1.0
OFF-LA-10000452,Office Supplies,Labels,Avery 4883.15,1.0
OFF-LA-10001317,Office Supplies,Labels,Avery 5203.15,1.0
OFF-LA-10001641,Office Supplies,Labels,Avery 5183.15,1.0
OFF-AR-10002375,Office Supplies,Art,Newell 3513.28,1.0
OFF-FA-10000936,Office Supplies,Fasteners,Acco Hot Clips Clips to Go3.29,1.0
OFF-AR-10003723,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers3.38,1.0
OFF-PA-10002659,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book3.38,1.0
OFF-LA-10001404,Office Supplies,Labels,Avery 5173.69,1.0
OFF-LA-10003720,Office Supplies,Labels,Avery 4873.69,1.0
OFF-LA-10002787,Office Supplies,Labels,Avery 4803.75,1.0
OFF-LA-10003714,Office Supplies,Labels,Avery 5103.75,1.0
OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders3.81,1.0
OFF-BI-10000591,Office Supplies,Binders,Avery Binder Labels3.89,1.0
TEC-AC-10003433,Technology,Accessories,Maxell 4.7GB DVD+R 5/Pack1.98,2.0
OFF-AR-10004269,Office Supplies,Art,Newell 314.13,1.0
OFF-LA-10004484,Office Supplies,Labels,Avery 4764.13,1.0
OFF-PA-10003657,Office Supplies,Paper,Xerox 19274.28,1.0
OFF-PA-10004239,Office Supplies,Paper,Xerox 19534.28,1.0
OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled4.41",1.0
OFF-PA-10001622,Office Supplies,Paper,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled4.54",1.0
OFF-FA-10000254,Office Supplies,Fasteners,Sterling Rubber Bands by Alliance4.71,1.0
OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils4.89,1.0
OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue4.91",1.0
OFF-LA-10004055,Office Supplies,Labels,Color-Coded Legal Exhibit Labels4.91,1.0
TEC-PH-10000347,Technology,Phones,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple4.95,1.0
OFF-PA-10001526,Office Supplies,Paper,Xerox 19494.98,1.0
OFF-PA-10004948,Office Supplies,Paper,Xerox 1904.98,1.0
OFF-LA-10001771,Office Supplies,Labels,Avery 5134.98,1.0
OFF-PA-10000349,Office Supplies,Paper,Staples4.98,1.0
OFF-FA-10002280,Office Supplies,Fasteners,Advantus Plastic Paper Clips5,1.0
OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands2.52,2.0
OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)5.28,1.0
FUR-FU-10004020,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame5.47,1.0
TEC-PH-10003442,Technology,Phones,Samsung Replacement EH64AVFWE Premium Headset5.5,1.0
OFF-AR-10000369,Office Supplies,Art,Design Ebony Sketching Pencil2.78,2.0
OFF-AR-10000716,Office Supplies,Art,DIXON Ticonderoga Erasable Checking Pencils5.58,1.0
OFF-AR-10000122,Office Supplies,Art,Newell 3145.58,1.0
OFF-PA-10003845,Office Supplies,Paper,Xerox 19875.78,1.0
OFF-PA-10004971,Office Supplies,Paper,Xerox 1965.78,1.0
OFF-BI-10002412,Office Supplies,Binders,Wilson Jones ?Snap? Scratch Pad Binder Tool for Ring Binders5.8,1.0
OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages5.88",1.0
OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC2.96,2.0
TEC-AC-10000199,Technology,Accessories,Kingston Digital DataTraveler 8GB USB 2.05.95,1.0
OFF-PA-10001243,Office Supplies,Paper,Xerox 19835.98,1.0
OFF-AR-10001427,Office Supplies,Art,Newell 3305.98,1.0
OFF-PA-10001667,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)5.98,1.0
OFF-ST-10001505,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H5.98",1.0
OFF-FA-10003495,Office Supplies,Fasteners,Staples6.08,1.0
OFF-BI-10001249,Office Supplies,Binders,Avery Heavy-Duty EZD View Binder with Locking Rings6.38,1.0
OFF-AR-10000462,Office Supplies,Art,Sanford Pocket Accent Highlighters3.2,2.0
OFF-PA-10000029,Office Supplies,Paper,Xerox 2246.48,1.0
OFF-PA-10002105,Office Supplies,Paper,Xerox 2236.48,1.0
OFF-PA-10004888,Office Supplies,Paper,Xerox 2176.48,1.0
OFF-PA-10000019,Office Supplies,Paper,Xerox 19316.48,1.0
OFF-PA-10001972,Office Supplies,Paper,Xerox 2146.48,1.0
