OrderID,OrderDate,ShippingDate,ShippingMode,CustomerID,Sales,Profit,Discount
AE-2011-9160,10/03/11,10/07/11,Standard Class,PO-8865,165.348,115.7436,0.2
AE-2013-1130,10/14/13,10/14/13,Same Day,EB-4110,4.248,2.9736,0.2
AE-2013-1530,12/31/13,01/03/14,Second Class,MY-7380,6.966,4.8762,0.2
AE-2014-2840,11/05/14,11/08/14,First Class,PG-8820,42.48,29.736,0.2
AE-2014-3830,12/13/14,12/19/14,Standard Class,GH-4665,3.429,2.4003,0.2
AE-2014-4120,03/07/14,03/11/14,Standard Class,JD-5790,12.852,8.9964,0.2
AG-2011-1070,01/10/11,01/15/11,Second Class,TH-11235,308.64,0.0,0.2
AG-2011-1390,08/16/11,08/21/11,Standard Class,DH-3675,52.44,0.0,0.2
AG-2011-1440,12/15/11,12/20/11,Standard Class,DB-3210,117.48,0.0,0.2
AG-2011-2040,01/01/11,01/06/11,Standard Class,TB-11280,816.6,0.0,0.2
AG-2011-3090,08/13/11,08/17/11,Standard Class,AH-210,553.92,0.0,0.2
AG-2011-3130,03/11/11,03/16/11,Standard Class,AJ-780,35.97,0.0,0.2
AG-2011-380,03/03/11,03/09/11,Standard Class,CC-2370,113.28,0.0,0.2
AG-2011-4410,11/02/11,11/04/11,First Class,JH-5985,24.72,0.0,0.2
AG-2011-4450,06/15/11,06/15/11,Same Day,RS-9765,11.37,0.0,0.2
AG-2011-450,11/07/11,11/11/11,Standard Class,BC-1125,10.92,0.0,0.2
AG-2011-4560,12/20/11,12/27/11,Standard Class,EG-3900,260.49,0.0,0.2
AG-2011-500,11/23/11,11/27/11,Standard Class,AS-285,109.8,0.0,0.2
AG-2011-60,08/13/11,08/18/11,Second Class,TT-11070,10.41,0.0,0.2
AG-2011-7230,01/07/11,01/11/11,Standard Class,AC-420,182.76,0.0,0.2
AG-2011-7710,05/24/11,05/27/11,First Class,BM-1785,1749.36,0.0,0.2
AG-2011-8180,02/25/11,02/25/11,Same Day,RO-9780,8.37,0.0,0.2
AG-2011-8390,07/19/11,07/24/11,Standard Class,MW-8220,221.76,0.0,0.2
AG-2011-8930,12/26/11,12/27/11,Same Day,MW-8220,232.08,0.0,0.2
AG-2011-9060,12/20/11,12/25/11,Standard Class,OT-8730,198.09,0.0,0.2
AG-2011-9610,04/22/11,04/25/11,First Class,AA-645,597.36,0.0,0.2
AG-2011-9670,12/22/11,12/24/11,First Class,DK-2835,9536.4,0.0,0.2
AG-2011-9890,06/26/11,07/02/11,Standard Class,BM-1785,13.32,0.0,0.2
AG-2012-170,11/30/12,12/03/12,Second Class,PF-9165,8.52,0.0,0.2
AG-2012-1940,07/31/12,08/04/12,Standard Class,BP-1230,163.62,0.0,0.2
AG-2012-2200,11/29/12,12/02/12,First Class,TS-11505,5789.76,0.0,0.2
AG-2012-2220,12/26/12,12/30/12,Standard Class,PO-8865,23.52,0.0,0.2
AG-2012-2430,08/31/12,09/05/12,Standard Class,CC-2430,16.89,0.0,0.2
